"pat","EREG_mRNAsi"
"TCGA.AR.A5QQ.01A",0.697682642098483
"TCGA.B6.A0I1.01A",0.670273839280763
"TCGA.B6.A0IK.01A",0.827112863848438
"TCGA.B6.A0RE.01A",0.736062289886203
"TCGA.B6.A0RG.01A",0.699997771833529
"TCGA.B6.A0RI.01A",0.603099946047928
"TCGA.B6.A0RL.01A",0.451820687423469
"TCGA.B6.A0RM.01A",0.660134131708194
"TCGA.B6.A0RN.01A",0.578149419694762
"TCGA.B6.A0RO.01A",0.608874500849145
"TCGA.B6.A0RP.01A",0.510469158951967
"TCGA.B6.A0RS.01A",0.918439547108948
"TCGA.B6.A0RT.01A",0.711306284577355
"TCGA.B6.A0RU.01A",0.738800310830302
"TCGA.B6.A0RV.01A",0.723124055373807
"TCGA.B6.A0WT.01A",0.531181953975836
"TCGA.B6.A0WV.01A",0.502729425659757
"TCGA.B6.A0WW.01A",0.570927973346337
"TCGA.B6.A0WX.01A",0.74842256879159
"TCGA.B6.A0WY.01A",0.642963586173264
"TCGA.B6.A0WZ.01A",0.736821083643874
"TCGA.B6.A0X1.01A",0.472377935443428
"TCGA.B6.A0X4.01A",0.486966569722637
"TCGA.B6.A0X5.01A",0.796376408274843
"TCGA.B6.A0X7.01A",0.713405306988912
"TCGA.B6.A1KC.01B",0.555976052754191
"TCGA.B6.A1KF.01A",0.734855624169469
"TCGA.B6.A1KI.01A",0.644699933474549
"TCGA.B6.A1KN.01A",0.721412721882712
"TCGA.B6.A2IU.01A",0.629420178499506
"TCGA.B6.A3ZX.01A",0.666958941239634
"TCGA.B6.A400.01A",0.815706026716385
"TCGA.B6.A401.01A",0.667899462694496
"TCGA.B6.A402.01A",0.639694750069729
"TCGA.B6.A408.01A",0.568421231891708
"TCGA.B6.A409.01A",0.877129312499343
"TCGA.B6.A40B.01A",0.538517472814021
"TCGA.B6.A40C.01A",0.717877000589108
"TCGA.BH.A0AU.01A",0.500893598513672
"TCGA.BH.A0AW.01A",0.670286940233763
"TCGA.BH.A0AZ.01A",0.638453906376871
"TCGA.BH.A0B2.01A",0.820878265245198
"TCGA.BH.A0B3.01A",0.731492307705217
"TCGA.BH.A0B5.01A",0.570519318214094
"TCGA.BH.A0B8.01A",0.762458042810311
"TCGA.BH.A0B9.01A",0.660603322897778
"TCGA.BH.A0BA.01A",0.69740434035522
"TCGA.BH.A0BC.01A",0.696042758536158
"TCGA.BH.A0BF.01A",0.880457311493473
"TCGA.BH.A0BJ.01A",0.569482333020271
"TCGA.BH.A0BM.01A",0.672319549847073
"TCGA.BH.A0BS.01A",0.728104009571029
"TCGA.BH.A0BT.01A",0.665764147102164
"TCGA.BH.A0BZ.01A",0.619557889272243
"TCGA.BH.A0C0.01A",0.747322799454289
"TCGA.BH.A0C3.01A",0.695631814285023
"TCGA.BH.A0DD.01A",0.492576617134188
"TCGA.BH.A0DG.01A",0.862309554886014
"TCGA.BH.A0DH.01A",0.723980173407712
"TCGA.BH.A0DI.01A",0.758562518777287
"TCGA.BH.A0DK.01A",0.66223221803058
"TCGA.BH.A0DP.01A",0.63420835985245
"TCGA.BH.A0DQ.01A",0.636910486553506
"TCGA.BH.A0DS.01A",0.653140510633573
"TCGA.BH.A0DV.01A",0.742149888842839
"TCGA.BH.A0E0.01A",0.523879100426798
"TCGA.BH.A0E1.01A",0.650293732489484
"TCGA.BH.A0E2.01A",0.715504317871394
"TCGA.BH.A0GY.01A",0.81361934895772
"TCGA.BH.A0GZ.01A",0.464650364705186
"TCGA.BH.A0H0.01A",0.720689243840509
"TCGA.BH.A0H3.01A",0.762903398949201
"TCGA.BH.A0H6.01A",0.687816240322565
"TCGA.BH.A0H7.01A",0.525639563662823
"TCGA.BH.A0H9.01A",0.729381276921737
"TCGA.BH.A0HA.01A",0.699513527730921
"TCGA.BH.A0HB.01A",0.681379257720574
"TCGA.BH.A0HF.01A",0.814330770985895
"TCGA.BH.A0HI.01A",0.590220774110396
"TCGA.BH.A0HK.01A",0.847442040297211
"TCGA.BH.A0HN.01A",0.506547323721304
"TCGA.BH.A0HP.01A",0.479963983265131
"TCGA.BH.A0HX.01A",0.66560844889419
"TCGA.BH.A0HY.01A",0.854857710590897
"TCGA.BH.A0RX.01A",0.659096072838086
"TCGA.BH.A0W3.01A",0.445402527954069
"TCGA.BH.A0W4.01A",0.690520209480682
"TCGA.BH.A0W5.01A",0.733614515789264
"TCGA.BH.A0WA.01A",0.777902056588647
"TCGA.BH.A1EN.01A",0.760842275182726
"TCGA.BH.A1EO.01A",0.763927543143654
"TCGA.BH.A1ES.01A",0.474947868839196
"TCGA.BH.A1ET.01A",0.586918153837341
"TCGA.BH.A1EU.01A",0.700793597679952
"TCGA.BH.A1EV.01A",0.705689132432186
"TCGA.BH.A1EW.01A",0.508155510976273
"TCGA.BH.A1EX.01A",0.718686711198073
"TCGA.BH.A1EY.01A",0.832056031687874
"TCGA.BH.A1F0.01A",0.790432527108792
"TCGA.BH.A1F2.01A",0.821010274136519
"TCGA.BH.A1F6.01A",0.858571048754763
"TCGA.BH.A1F8.01A",0.65153570653867
"TCGA.BH.A1FB.01A",0.611310216945607
"TCGA.BH.A1FC.01A",0.696958194337552
"TCGA.BH.A1FD.01A",0.541507848721789
"TCGA.BH.A1FE.01A",0.672143867208749
"TCGA.BH.A1FG.01A",0.558761450864502
"TCGA.BH.A1FH.01A",0.680319169085632
"TCGA.BH.A1FJ.01A",0.692425368325147
"TCGA.BH.A1FL.01A",0.745333218449885
"TCGA.BH.A1FM.01A",0.640295399484038
"TCGA.BH.A1FN.01A",0.68922802508265
"TCGA.BH.A1FR.01A",0.621063961224885
"TCGA.BH.A1FU.01A",0.852072856304411
"TCGA.BH.A201.01A",0.60724788682322
"TCGA.BH.A202.01A",0.638453906376871
"TCGA.BH.A203.01A",0.833972066712765
"TCGA.BH.A204.01A",0.721364490013231
"TCGA.BH.A208.01A",0.785874615442919
"TCGA.BH.A209.01A",0.783993572533193
"TCGA.BH.A28O.01A",0.673518475488933
"TCGA.BH.A28Q.01A",0.552456483093781
"TCGA.BH.A2L8.01A",0.68629992090117
"TCGA.BH.A42T.01A",0.676808250489779
"TCGA.BH.A42U.01A",0.538696938069881
"TCGA.BH.A42V.01A",0.685672906597928
"TCGA.BH.A5IZ.01A",0.733180427772072
"TCGA.BH.A5J0.01A",0.587782519034461
"TCGA.BH.A6R8.01A",0.606037212628781
"TCGA.BH.A6R9.01A",0.514844743371877
"TCGA.BH.A8FY.01A",0.508107279106793
"TCGA.BH.A8FZ.01A",0.536815889995385
"TCGA.BH.A8G0.01A",0.717370561787987
"TCGA.BH.AB28.01A",0.466434943875952
"TCGA.C8.A1HE.01A",0.533477242453346
"TCGA.C8.A1HF.01A",0.683851147818469
"TCGA.C8.A1HG.01A",0.680195542172362
"TCGA.C8.A1HI.01A",0.566950159872563
"TCGA.C8.A1HJ.01A",0.915570112475015
"TCGA.C8.A1HK.01A",0.582744813814323
"TCGA.C8.A1HL.01A",0.822916691203666
